alpha,time,n_features,cost
0.01,0.0034,10,2.4595
0.0199,0.0034,10,2.4334
0.0298,0.0034,11,2.613
0.0397,0.0035,11,2.5847
0.0496,0.0033,11,2.5563
0.0595,0.0033,11,2.5279
0.0694,0.0035,11,2.4996
0.0793,0.0033,12,2.6594
0.0892,0.0034,12,2.6289
0.0991,0.0033,12,2.5984
0.109,0.0033,12,2.5679
0.1189,0.0033,12,2.5374
0.1288,0.0034,13,2.8241
0.1387,0.0036,13,2.7898
0.1486,0.0034,13,2.7555
0.1585,0.0034,13,2.7212
0.1684,0.0034,13,2.6869
0.1783,0.0033,14,2.8648
0.1882,0.0033,14,2.8277
0.1981,0.0034,14,2.7907
0.208,0.0034,14,2.7537
0.2179,0.0034,14,2.7166
0.2278,0.0034,15,3.3573
0.2377,0.0034,15,3.3114
0.2476,0.0035,15,3.2654
0.2575,0.0035,15,3.2195
0.2674,0.0036,15,3.1735
0.2773,0.0034,16,4.1851
0.2872,0.0034,16,4.1244
0.2971,0.0034,16,4.0637
0.307,0.0034,16,4.003
0.3169,0.0034,16,3.9423
0.3268,0.0034,17,4.2939
0.3367,0.0034,17,4.227
0.3466,0.0033,17,4.1601
0.3565,0.0036,17,4.0933
0.3664,0.0035,17,4.0264
0.3763,0.0035,18,5.4848
0.3862,0.0034,18,5.3936
0.3961,0.0035,18,5.3025
0.406,0.0036,18,5.2114
0.4159,0.0036,18,5.1203
0.4258,0.0036,19,5.8652
0.4357,0.0034,19,5.7596
0.4456,0.0034,19,5.6539
0.4555,0.0037,19,5.5482
0.4654,0.0034,19,5.4425
0.4753,0.0034,20,7.6634
